SGL,Transect #,TransectMeterPlot,Genus,Species,Species common,Daubenmeyer,Heading,BurnDate,YearSinceBurn,CollectedDate,DateCollected,Time Category,Burn Unit,Days Since Burn,Notes
300,7,5m,Aronia,melanocarpa,black chokeberry,2,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-1,16,
300,7,5m,Vaccinium,angustifolium,lowbush blueberry,1,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,5m,Kalmia,angustifolia,sheep laurel,1,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,5m,Gaultheria,procumbens,teaberry,1,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,5m,Gaylussacia,baccata,black huckleberry,3,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,10m,Aronia,melanocarpa,black chokeberry,1,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,10m,Gaultheria,procumbens,teaberry,1,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,10m,Kalmia,angustifolia,sheep laurel,1,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,10m,Vaccinium,angustifolium,lowbush blueberry,1,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,10m,Dendrolycopodium,obscurum,flat-branched tree clubmoss,1,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,10m,Gaylussacia,baccata,black huckleberry,3,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,15m,Aronia,melanocarpa,black chokeberry,1,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,15m,Kalmia,angustifolia,sheep laurel,1,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,15m,Vaccinium,angustifolium,lowbush blueberry,1,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,15m,Gaylussacia,baccata,black huckleberry,4,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,20m,Vaccinium,angustifolium,lowbush blueberry,2,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,20m,Aronia,melanocarpa,black chokeberry,1,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,7,20m,Gaylussacia,baccata,black huckleberry,3,199S,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,5m,Gaultheria,procumbens,teaberry,1,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,5m,Vaccinium,angustifolium,lowbush blueberry,2,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,5m,Aronia,melanocarpa,black chokeberry,1,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,5m,Gaylussacia,baccata,black huckleberry,3,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,10m,Gaultheria,procumbens,teaberry,3,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,10m,Gaylussacia,baccata,black huckleberry,3,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,10m,Vaccinium,angustifolium,lowbush blueberry,3,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,10m,Kalmia,angustifolia,sheep laurel,1,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,15m,Gaultheria,procumbens,teaberry,2,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,15m,Aronia,melanocarpa,black chokeberry,1,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,15m,Quercus,ilicifolia,scrub oak,1,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,15m,Vaccinium,angustifolium,lowbush blueberry,1,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,15m,Kalmia,angustifolia,sheep laurel,1,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,20m,Gaultheria,procumbens,teaberry,3,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,20m,Kalmia,angustifolia,sheep laurel,2,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,20m,Quercus,ilicifolia,scrub oak,2,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,8,20m,Betula,lenta,black birch,1,202SW,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,5m,Carex,pensylvanica,PA sedge,3,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,5m,Vaccinium,angustifolium,lowbush blueberry,3,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,5m,Rubus,allegheniensis ,Allegheny blackberry,2,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,5m,Aronia,melanocarpa,black chokeberry,1,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,5m,Gaylussacia,baccata,black huckleberry,1,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,5m,Viburnum,nudum,wild raisin,1,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,10m,Vaccinium,angustifolium,lowbush blueberry,3,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,10m,Aronia,melanocarpa,black chokeberry,2,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,10m,Carex,pensylvanica,PA sedge,2,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,10m,Quercus,ilicifolia,scrub oak,1,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,10m,Rubus,allegheniensis ,Allegheny blackberry,1,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,15m,Gaylussacia,baccata,black huckleberry,2,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,15m,Vaccinium,angustifolium,lowbush blueberry,3,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,15m,Kalmia,angustifolia,sheep laurel,3,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,20m,Aronia,melanocarpa,black chokeberry,2,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,20m,Vaccinium,angustifolium,lowbush blueberry,2,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,20m,Quercus,ilicifolia,scrub oak,1,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
300,9,20m,Gaultheria,procumbens,teaberry,1,23NE,4-25-25,4-25-25,5-11-25,5-11-25,A,300-2,16,
211,1,5m,Potentilla,simplex,common cinquefoil,3,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,5m,Rubus,flagellaris,northern dewberry,1,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,"Carex morpho 1, thicker than penn"
211,1,5m,Carex,sp.,Carex sp.,2,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,5m,Microstegium,vimineum,Japanese stiltgrass,2,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,5m,Betula,lenta,black birch,2,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,10m,Rubus,allegheniensis ,Allegheny blackberry,1,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,10m,Potentilla,simplex,common cinquefoil,3,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,10m,Betula,lenta,black birch,2,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,10m,Carex,sp.,Carex sp.,2,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,Carex morpho 1
211,1,10m,Microstegium,vimineum,Japanese stiltgrass,2,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,10m,Viola,sagittata,arrowleaf violet,1,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,10m,Dennstaedtia,punctilobula,hay-scented fern,1,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,10m,Lysimachia,quadrifolia,whorled yellow loostrife,1,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,15m,Dennstaedtia,punctilobula,hay-scented fern,2,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,15m,Lysimachia,quadrifolia,whorled yellow loostrife,3,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,15m,Rubus,allegheniensis ,Allegheny blackberry,1,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,15m,Rubus,flagellaris,northern dewberry,1,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,20m,Lysimachia,quadrifolia,whorled yellow loostrife,2,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,20m,Microstegium,vimineum,Japanese stiltgrass,2,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,20m,Dennstaedtia,punctilobula,hay-scented fern,2,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,1,20m,Betula,lenta,black birch,1,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,2,5m,Carex,pensylvanica,PA sedge,3,?,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,2,5m,Lysimachia,quadrifolia,whorled yellow loostrife,3,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,2,5m,Rubus,allegheniensis,Allegheny blackberry,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,2,5m,Betula,lenta,black birch,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,2,10m,Rubus,allegheniensis,Allegheny blackberry,2,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,2,10m,Carex,pensylvanica,PA sedge,3,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,2,10m,Lysimachia,quadrifolia,whorled yellow loostrife,2,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,2,15m,Lysimachia,quadrifolia,whorled yellow loostrife,3,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,2,15m,Carex,pensylvanica,PA sedge,3,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,2,15m,Carex,blanda,woodland sedge,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,2,15m,Rubus,flagellaris,northern dewberry,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,2,20m,Maianthemum,racemosum,false Solomon's seal,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,2,20m,Lysimachia,quadrifolia,whorled yellow loostrife,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,20m,Dichanthelium,clandestinum,deer tongue,2,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,20m,Lysimachia,quadrifolia,whorled yellow loostrife,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,20m,Carex,blanda,woodland sedge,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,20m,Microstegium,vimineum,Japanese stiltgrass,2,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,20m,Dennstaedtia,punctilobula,hay-scented fern,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,20m,Betula,lenta,black birch,2,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,15m,Betula,lenta,black birch,3,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,15m,Lysimachia,quadrifolia,whorled yellow loostrife,2,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,15m,Carex,blanda,woodland sedge,2,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,15m,Dichanthelium,clandestinum,deer tongue,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,15m,Rubus,flagellaris,northern dewberry,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,15m,Carex,pensylvanica,PA sedge,2,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,10m,Rubus,allegheniensis,Allegheny blackberry,2,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,10m,Carex,pensylvanica,PA sedge,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,10m,Betula,lenta,black birch,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,5m,Betula,lenta,black birch,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,5m,Rubus,flagellaris,northern dewberry,1,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,
211,3,5m,Carex,sp.,Carex sp.,2,,4-23-25,4-23-25,5-18-25,5-18-25,A,211-1,25,Carex morpho 2
210,4,20m,Dennstaedtia,punctilobula,hay-scented fern,5,177,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,4,15m,Dennstaedtia,punctilobula,hay-scented fern,5,177,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,4,10m,Dennstaedtia,punctilobula,hay-scented fern,5,177,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,4,10m,Rubus,allegheniensis,Allegheny blackberry,1,177,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,4,5m,Dennstaedtia,punctilobula,hay-scented fern,5,177,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,5,20m,Dennstaedtia,punctilobula,hay-scented fern,4,130,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,5,15m,Dennstaedtia,punctilobula,hay-scented fern,5,130,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,5,15m,Rubus,hispidus,dewberry,1,130,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,5,10m,Dennstaedtia,punctilobula,hay-scented fern,3,130,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,5,10m,Berberis,thunbergii,japanese barberry,1,130,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,5,10m,Rubus,allegheniensis,Allegheny blackberry,2,130,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,5,5m,Dennstaedtia,punctilobula,hay-scented fern,4,130,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,5,5m,Rubus,hispidus,dewberry,1,130,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,20m,Gaultheria,procumbens,teaberry,1,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,20m,Lysimachia,borealis,northern starflower,2,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,20m,,,in photo ,2,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,20m,Acer,rubrum,red maple,1,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,15m,Gaultheria,procumbens,teaberry,2,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,15m,Smilax,rotundifolia,common greenbriar,1,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,15m,,,in photo ,3,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,10m,,,in photo ,3,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,10m,Sassafras,albidum,sassafrass,1,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,10m,Smilax,rotundifolia,common greenbriar,1,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,10m,,,in photo 2,1,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,10m,Gaultheria,procumbens,teaberry,2,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,5m,,,in photo ,3,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
210,6,5m,Smilax,rotundifolia,common greenbriar,2,65,3-12-2025,3-12-2025,6-7-25,6-7-25,A,210-2,87,
38,9,20m,Kalmia,angustifolia,sheep laurel,2,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,9,20m,Quercus,ilicifolia,scrub oak,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,9,20m,Vaccinium,corymbosum,highbush blueberry,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,9,15m,Amianthium,muscitoxicum,fly poison,2,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,9,15m,Vaccinium,corymbosum,highbush blueberry,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,9,15m,Rubus,hispidus,dewberry,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,9,15m,Sassafras,albidum,sassafrass,1,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,9,15m,Quercus,ilicifolia,scrub oak,2,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,9,10m,Sassafras,albidum,sassafrass,1,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,9,10m,Quercus,ilicifolia,scrub oak,2,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,9,10m,Vaccinium,corymbosum,highbush blueberry,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,9,5m,Vaccinium,corymbosum,highbush blueberry,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,9,5m,Quercus,ilicifolia,scrub oak,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,20m,Quercus,ilicifolia,scrub oak,4,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,20m,Kalmia,angustifolia,sheep laurel,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,20m,Vaccinium,angustifolium,lowbush blueberry,2,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,15m,Kalmia,angustifolia,sheep laurel,1,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,15m,Quercus,ilicifolia,scrub oak,1,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,15m,Vaccinium,angustifolium,lowbush blueberry,1,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,15m,Sassafras,albidum,sassafrass,1,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,15m,Gaylussacia,baccata,black huckleberry,1,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
38,8,15m,Quercus,ilicifolia,scrub oak,3,,6-17-14,6-17-14,6-18-2025,6-18-2025,D,38-2,4019,
