SGL,Transect..,TransectMeterPlot,Genus,Species,Species.common,Daubenmeyer,Present,Heading,BurnDate,YearSinceBurn,CollectedDate,DateCollected,Time.Category,Burn.Unit,Days.Since.Burn,Notes
300,7,5m,Rubus,,,0,absent,199S,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,7,10m,Rubus,,,0,absent,199S,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,7,15m,Rubus,,,0,absent,199S,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,7,15m,Gaultheria,,,0,absent,199S,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,7,20m,Rubus,,,0,absent,199S,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,7,20m,Gaultheria,,,0,absent,199S,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,8,5m,Rubus,,,0,absent,202SW,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,8,10m,Rubus,,,0,absent,202SW,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,8,15m,Rubus,,,0,absent,202SW,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,8,15m,Gaylussacia,,,0,absent,202SW,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,8,20m,Vaccinium,,,0,absent,202SW,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,8,20m,Rubus,,,0,absent,202SW,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,8,20m,Gaylussacia,,,0,absent,202SW,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,9,5m,Gaultheria,,,0,absent,23NE,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,9,15m,Rubus,,,0,absent,23NE,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,9,15m,Gaultheria,,,0,absent,23NE,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,9,20m,Rubus,,,0,absent,23NE,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
300,9,20m,Gaylussacia,,,0,absent,23NE,4/25/2025,4/25/2025,5/11/2025,5/11/2025,A,300-2,16,
211,1,5m,Gaylussacia,,,0,absent,?,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,1,5m,Gaultheria,,,0,absent,?,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,1,5m,Vaccinium,,,0,absent,?,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,1,10m,Gaylussacia,,,0,absent,?,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,1,10m,Gaultheria,,,0,absent,?,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,1,10m,Vaccinium,,,0,absent,?,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,1,15m,Gaylussacia,,,0,absent,?,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
211,1,15m,Gaultheria,,,0,absent,?,4/23/2025,4/23/2025,5/18/2025,5/18/2025,A,211-1,25,
